,questions,documents,answers,explanations
87,Can echinacea relieve the discomfort of colds???,"No clues to help with colds Unfortunately, the available studies cannot answer whether preparations with Echinacea help if the cold is already there. Effect in case of illness remains unclear Whether Echinacea also helps if the cold is already there, remains unclear despite studies.",unknown,"Regular intake of echinacea extracts could possibly offer some protection against colds. However, the effect seems to be small. It is unclear whether the plant is also suitable for treatment. Study results on this are contradictory."
88,Does taking LaVita promote health or physical and mental performance? (Reader inquiry),"Man is not a test tube The results of unpublished investigations, summarized on the website, do not answer whether LaVita consumption significantly improves health and well-being. Whether the preparation of LaVita also had a direct and noticeable effect on health or mental or physical performance was not investigated in the study. However, the study cannot demonstrate that this is due to the use of LaVita.",unknown,There are no studies that have directly tested this question.
89,"Do dental care products with nanoparticles of hydroxyapatite help pain-sensitive teeth? And can they prevent caries or repair already affected, decayed tooth enamel?","However, the examination is so poor that it cannot show to what extent caries can be prevented by hydroxyapatite tooth care. Whether existing mild caries with hydroxyapatite disappear again is not investigated at all in studies. Many questions open It is not only unclear at the moment whether hydroxyapatite helps against pain sensitivity of the teeth or caries. All in all, the study cannot show that hydroxylapatite can prevent caries.",unknown,"On these questions, we found only inadequate studies with no explanatory power. They cannot provide evidence for the claimed effects."
90,Can light therapy with light lamps relieve the symptoms of autumn-winter depression?,"Overall, these results show that treatment with light bulbs could help some people affected by fall-winter depression at least in the short term. After two to eight weeks of long treatment, the symptoms improved in 25 out of 100 people without light therapy.Light therapy improved in 46 out of 100 people Overall, light therapy helped 21 out of 100 people. Thus, the best available studies suggest that light therapy can help some people.",yes,"Light therapy with light lamps may be able to relieve fall-winter depression. However, it seems to help only one in five affected people. It is unclear how long an improvement lasts. Long-term studies are lacking."
91,Does vitamin B3 protect against severe covid-19 events?,"Why such studies from the perspective of some experts seem promising at all, however, does not make us quite clear: because the reasons for the planned studies cite almost exclusively possible mechanisms of action at cell level, not even animal experiments with vitamin B3. Whether vitamin B3 helps to prevent severe Covid-19 processes remains to be seen. This vitamin deficiency disease can alter the skin and mucous membranes, but can also cause neurological disorders [3].The studies in detail For the benefit of vitamin B3 in Covid-19, we have not found completed meaningful studies. Based on these very preliminary (and usually not used by us) sources, we believe that we can identify potential weaknesses of the study: In this way, two treatments with unknown effects are tested and compared within the study: We do not know whether they help from vitamin B3 or from silica.",unknown,We could not find any completed meaningful studies on this topic. Two ongoing studies are currently investigating the question.
92,Does taking coenzyme Q10 improve movement disorders in Parkinson's disease?,"No proven benefit of coenzyme Q10 However, this review results in a rather disappointing result: Movement disorders with coenzyme Q10 are likely to develop similar to those with a sham medication. This means that, according to current knowledge, coenzyme Q10 has no positive effect on Parkinson's typical movement disorders. However, evidence of ineffectiveness of coenzyme Q10 outweighs it. There are no significant differences between coenzyme Q10 and placebo, which would in principle be a good tolerability.",no,"Previous studies suggest that the intake of coenzyme Q10 does not tend to bring about any improvement in movement disorders typical of Parkinson's disease. However, this assessment is not well substantiated."
93,Does treatment with focused high-intensity ultrasound (HIFU) reduce abdominal girth?,"Ultrasound treatment – if at all – should not have a great effect. Twelve weeks after the end of treatment, the abdominal circumference at the waist was one centimetre lower than after a dummy treatment without ultrasound. Compared to the sham treatment, it detected a reduction of one centimetre in the group with the highest ultrasonic intensity.",yes,"In a study with low significance, the abdominal circumference at the waist decreased by 1 cm after 3 months. In our estimation, this uncertain effect is very small or hardly visible."
94,Does sugar substitution increase the risk of developing or dying from cancer?,"No definitive results On erythritol and similar sugar alternatives (so-called sugar alcohols) we could not find any meaningful studies that investigated the association with cancer. In most studies, there was no clear connection: people who consumed, fell ill or died more frequently from cancer than people who used little, rare or never sweeteners. In spite of the large number of studies and participants, we are therefore currently unable to assess conclusively whether sweeteners actually increase the risk of cancer. We could not find a single comparative study on sugar alcohols such as erythritol, which investigated the relationship between this sweetener group and cancer. Results not clear In the review of the individual studies [1] and in the majority of recent studies [3-5], there is no clear link between the consumption of sweeteners and the risk of developing or dying of cancer.",unknown,"Most studies on sweeteners such as aspartame and cyclamate find no clear link. However, they all have major flaws, so the question cannot be answered with certainty at present. We were unable to find any meaningful studies at all on other sugar alternatives such as erythritol and xylitol."
95,Does ozonated vegetable oil help against athlete's foot or nail fungus?,"However, only with little success: For internal use (drips for swallowing) of ozonated vegetable oils we could not find any studies that are at least reasonably meaningful. The question whether ozonated oils help at least as well with various fungal infections as conventional drugs cannot be answered for us. For us, however, this is no evidence that ozonated oil is a good alternative to conventional anti-fungal agents.",unknown,We could not find any studies on these questions that we considered trustworthy.
96,Does ozonated vegetable oil help against vaginal fungus??,"However, only with little success: For internal use (drips for swallowing) of ozonated vegetable oils we could not find any studies that are at least reasonably meaningful. The question whether ozonated oils help at least as well with various fungal infections as conventional drugs cannot be answered for us. For us, however, this is no evidence that ozonated oil is a good alternative to conventional anti-fungal agents.",unknown,We could not find any studies on these questions that we considered trustworthy.
97,Are health checks of symptom-free individuals (screening) effective in containing the pandemic?,"However, questioning and measuring fevers as screening unsuitable people for possible complaints, their itinerary or contacts with patients does not seem to provide reliable results. It is currently uncertain whether rapid tests at the airport, at the border or in health facilities can deliver reliable results and thus slow down the spread of the corona virus. According to these studies, both fever tests and surveys cannot reliably identify infected people as such. The research team cannot answer whether it can inhibit the spread of the Coronavirus to test complaint-free persons for the virus by means of a rapid test.",unknown,"Fever measurement at the border, questioning about complaints, or regular corona tests for health care workers: so-called screening involves examining people without complaints for a possible infection. Whether this can slow down the pandemic, however, is not well established. It is also unclear how reliably the series of health checks can distinguish infected from non-infected people. There is currently not enough solid data on this."
98,Does melatonin help against jet lag?,"Overall, the studies show that melatonin may help better against jetlag than a sham drug. Reliable statements on side effects of melatonin cannot be made on the basis of the studies. Difficult Summary In the systematic review work [1] four studies with a total of around 140 participants could be combined mathematically: According to this, people with melatonin have less jet-lag complaints than people who took a placebo.",yes,"The best available studies suggest that melatonin may be effective against jet lag problems. However, this assessment is not well supported."
99,Does sunscreen reduce the likelihood of skin cancer?,"The combined results of previous studies cannot clearly show that sunscreen reduces the risk of skin cancer [3,4]. Although studies have been carried out on this issue for 40 years, they are only limited in meaning and come to contradictory results. Both reviews are of high quality, have slightly different strengths and weaknesses, but come to the same conclusion: Due to the very different study results, an influence of sunscreen on the risk of skin cancer cannot be proven. However, we consider the significance of these studies to be very low.",unknown,"Although sunscreen protects the skin from sunburn, it has not yet been proven that it can also prevent skin cancer. The existing studies contradict each other. The problem is that the studies often did not take into account whether the participants applied the sunscreen correctly and regularly or whether the sun protection factor was sufficiently high."
100,Are international travel restrictions and border health checks effective in curbing the spread of covid-19?,"Some studies conclude that screenings at the border may be helpful to slow down the impact of the outbreak and reduce deaths a little. Rather, their evaluations would suggest that some travel-related control measures in the event of outbreaks of COVID-19, but also SARS and MERS, could have a positive impact on the outcome of the infection.",yes,"It may be that travel-related control measures lead to a reduction in the ""import"" and ""export"" of infections across borders. It could also be that the number of infected people increases more slowly. Health checks at the border could also identify previously undetected infections - but whether this will put a real damper on the pandemic is certainly questionable."
101,Does hypnosis help with smoking cessation?,"No convincing studies However, whether hypnosis actually helps with smoking cessation is not adequately investigated in studies [1]. It is also uncertain whether hypnosis works better than no therapy at all. Therefore, well-made studies are still needed to demonstrate effectiveness. In other studies, hypnosis therapy is hardly better than sham therapy (placebo treatment). Overall, there is no indication of a stronger effect of hypnosis therapy compared to behavioral therapy or other common methods.",unknown,"As things stand, the effectiveness of hypnosis for smoking cessation has not been proven. The study results are partly contradictory."
102,Does denosumab (Prolia) reduce the risk of vertebral fractures in osteoporosis?,"Denosumab was able to prevent such vertebral fractures in about 1 out of 100 female participants. Compared to some other osteoporosis agents, denosumab seems to be able to prevent vertebral fractures in some cases.",yes,The pooled results of studies to date show that denosumab reduces the risk of vertebral fractures more than a placebo. It may even be slightly more protective than single other osteoporosis drugs.  It cannot be ruled out that discontinuing denosumab increases the likelihood of vertebral fractures again. The studies on this are contradictory.
103,Does discontinuation of denosumab increase the risk of vertebral fractures???,"The consequences of discontinuation of denosumab are insufficiently investigated. However, it is unclear whether discontinuation actually leads to more bone fractures. Therefore, no reliable statements can be made from the data as to whether the discontinuation of denosumab leads to bone fractures.",unknown,The pooled results of studies to date show that denosumab reduces the risk of vertebral fractures more than a placebo. It may even be slightly more protective than single other osteoporosis drugs.  It cannot be ruled out that discontinuing denosumab increases the likelihood of vertebral fractures again. The studies on this are contradictory.
104,Does taking magnesium improve the symptoms of depression?,"Apart from the fact that this finding could not always be confirmed [2] : A statistical connection does not automatically mean that a low magnesium level is also the cause of depression – and vice versa, that the depression is improved by magnesium intake. However, it cannot be concluded that magnesium is equivalent to an antidepressant. In the end, all of the depressive symptoms improved, with no difference between magnesium and placebo. Based on these studies, it is not certain whether magnesium actually helps with depression and would be a good alternative to an antidepressant or at least as an additional treatment.",unknown,The question has been investigated in only three small studies. These had several shortcomings and in some cases reached contradictory results.
105,Does focused ultrasound (HIFU) treatment reduce wrinkles and sagging of the skin?,"Unproven allegation However, there is no scientific evidence of this effect. However, we could not find such studies – despite extensive research in several research databases. What we have found are studies with very low significance, which have compared only different HIFU treatment strengths [1-3]. They cannot answer whether the HIFU method does anything.",unknown,"We did not find any conclusive studies. So whether HIFU has a visible effect is not solidly studied. However, there are reports of significant pain, redness and swelling."
106,Does a ketogenic diet help against cancer?,"So far, there is no evidence of the efficacy of the ketogenic diet in cancer. Effect on tumors so far unexplored This means that until today, the question that is actually relevant to cancer patients – whether low-carbohydrate or non-carbohydrate diets can do something about cancer cells – has hardly been investigated in humans. The few studies available so far do not report any or at most an unsafe anti-cancer effect of the ketogenic diet.",unknown,"To date, there are no well-done studies that have examined the effect of a ketogenic diet on cancer in humans. This involves eating little or no carbohydrates and sugar, but plenty of protein and fat. Experts take a critical view of ""cancer diets"" such as the ketogenic diet - they can also be dangerous."
107,Do curd compresses have an analgesic effect (e.g. for muscle and joint pain)? Do they have an antipyretic effect? Do curd compresses help breastfeeding women with lactation congestion?,"Nine years later, we too could not find meaningful research results on pot wrapping during an extensive research. But it is unclear whether pots also have a benefit. The fact that a quark pack helps just as well as a cool pack, however, cannot be shown by the examination – because it is too deficient. However, how well they actually relieve pain and swelling is not well studied [3,4]. It is also unclear how pot wraps are supposed to relieve pain and inflammation.",unknown,We could not find any conclusive studies on curd wraps. Whether the effect goes beyond a cooling effect is unclear.
108,Does deuterium-reduced water prevent cancer?,"No statements can be derived from this on other cancers or even on protection against cancer. Unreliable For patients with prostate cancer, a benefit of deuterium-reduced water cannot be safely demonstrated with the study found, even if the author's team reports otherwise.",unknown,"We found only one study with prostate cancer patients comparing deuterium-reduced water with normal water. This small study has numerous flaws, so the results are not conclusive. We were unable to locate reliable studies on its use in other cancers or for cancer prevention."
109,Does deuterium-reduced water improve disease progression in cancer???,"The theoretical considerations for this have not necessarily convinced us: Laboratory and animal tests are reported on websites as an argument for deuterium-reduced water. Unreliable For patients with prostate cancer, a benefit of deuterium-reduced water cannot be safely demonstrated with the study found, even if the author's team reports otherwise. At least in our review, we came to the conclusion that there is no clear difference in mortality between the two groups, with a more appropriate method from our point of view.",unknown,"We found only one study with prostate cancer patients comparing deuterium-reduced water with normal water. This small study has numerous flaws, so the results are not conclusive. We were unable to locate reliable studies on its use in other cancers or for cancer prevention."
110,Can a special mattress relieve nighttime rheumatism symptoms and thus improve sleep?,"Many mattresses, no studies To this end, we have searched in several scientific databases for studies on rheumatism and mattresses – but without success. It is currently impossible to answer whether a specific mattress can help those affected. The studies in detail We could not find any studies that investigated the effect of mattresses on rheumatism pain.",unknown,"During our research, we did not find any scientific studies on this. Therefore, we can not make any statement about the effect of special mattresses."
111,Do people with blood group AB have a higher risk of developing dementia?,"The result: None of the four known blood groups were remarkably common among people with dementia. The four blood groups A, B, AB and 0 were similarly distributed among dementia patients as among the healthy average population. Blood type AB: no panic However, bad results in thinking and memory tasks do not automatically mean that dementia begins. The study therefore provides no indication that the blood type was directly responsible for the mental impairments. The direct conclusion that blood type AB increases the risk of mental impairment is not confirmed by the results.",no,"The risk of dementia appears to be similar for people of all four blood groups (A, B, AB, 0). This was shown by two studies that evaluated data from more than 9,000 affected individuals. The claim spread in the media that the AB blood group increases the risk of dementia is therefore unlikely to be true."
112,Does therapeutic dancing help people with Parkinson's improve their movement problems?,"Small improvements – perhaps In fact, the summarized results of previous studies suggest that dancing can help with Parkinson's disease – at least a little [1]. Compared to no therapy, dancing improved movement restrictions by around 8 points on this scale. Compared to exercise therapy, dancing improved movement restrictions by around 2 points on this scale.",yes,"Dancing could somewhat improve the movement problems of affected people. It is also possible that dancing performs slightly better compared to other movement exercises. Nevertheless, it does not seem to increase the quality of life noticeably."
113,Is it possible to reliably detect coronavirus infection based only on symptoms but without laboratory testing?,"However, it appears that symptoms alone are not sufficient to reliably diagnose symptoms. Neither the presence of certain symptoms nor their absence makes it possible to conclude with high certainty on Covid-19 or to exclude the infection. At least at the moment, symptoms can only provide evidence that a more accurate investigation by means of a laboratory test is important.",no,"So far, no symptoms have emerged from which a covid 19 infection can be inferred with certainty. The absence of certain symptoms also does not allow an all-clear to be given. Thus, it appears that symptoms such as coughing, shortness of breath or loss of smell are not suitable for making a diagnosis. Laboratory tests (""PCR tests"") are currently the safest option (as of August 2020)."
114,Are home coronavirus self-tests as reliable as tests performed by trained healthcare professionals?,"Do-it-yourself tests: Study situation thin We could not find any studies that investigated how reliable Corona self-tests are for home compared to professionally performed tests. Whether the do-it-yourself variant of the Corona test is just as good as the professionally performed test directly in the laboratory or the doctor's office, therefore remains unexplained. In this case, the test should be repeated approximately one or two days later [5].The studies in detail We could not find any studies on how reliable self-tests for home can detect an infection with the new Coronavirus – compared to a test by professionals.",unknown,"Whether self-tests from the drugstore or pharmacy provide as reliable results as a test by trained health personnel has not yet been investigated. Errors are possible when taking the sample at home. Things can also go wrong in transit to the laboratory. This can affect the accuracy of the test result. But whether done by yourself or by trained personnel, even the best Corona test is not one hundred percent reliable."
115,Does biotin help with hair loss? Does biotin make hair grow faster?,"Unclear effect on hair loss and hair growth Our search for scientific evidence for the claimed effects of biotin remained unsuccessful. We can neither answer whether Biotin makes hair grow faster, nor can the vitamin stop hair loss. The scientists found no difference in hair growth between the biotin and placebo groups [1]. Evidence still has to be provided Whether biotin is effective or ineffective, we cannot say on this basis. The study concluded that the intake of biotin had no effect on hair growth.",unknown,"The number of studies dealing with the effect of biotin on hair growth is insufficient. According to current research, a positive effect has not been confirmed."
116,Can induction of labor prevent infant deaths in pregnancies that go beyond the estimated due date? Does it reduce the number of neonatal intensive care unit stays?,"The most important results: Birth initiations can be lifesaving for babies. In the case of inductions, there are fewer deaths of babies immediately before or after birth than during observation and waiting. Due to the artificial triggering of the birth a little less stays in an intensive care unit are necessary for the newborns.",yes,"The summary of 34 strong studies involving 21,500 women shows that birth inductions can prevent baby deaths and neonatal intensive care unit stays - compared to observational waiting. Cesarean sections are likely to be needed less often with inductions than with waiting. The use of a suction cup and forceps is unlikely to change much, if at all. The results apply to women with no special risks and in the case that the pregnancy continues beyond the expected delivery date."
117,Does induction of labor make cesarean sections less necessary than observational waiting?,"Less caesarean sections For pregnant women without special risk, an introduction probably means a slightly lower risk for a caesarean section. In figures, according to overview work [1], expressed as follows: With introduction 16.7% of women had a caesarean section Without introduction 18.6% of women had a caesarean section.",yes,"The summary of 34 strong studies involving 21,500 women shows that birth inductions can prevent baby deaths and neonatal intensive care unit stays - compared to observational waiting. Cesarean sections are likely to be needed less often with inductions than with waiting. The use of a suction cup and forceps is unlikely to change much, if at all. The results apply to women with no special risks and in the case that the pregnancy continues beyond the expected delivery date."
118,Does the number of deliveries with a vacuum cup and forceps remain similar with induction and observational waiting???,Due to the artificial triggering of the birth a little less stays in an intensive care unit are necessary for the newborns.,yes,"The summary of 34 strong studies involving 21,500 women shows that birth inductions can prevent baby deaths and neonatal intensive care unit stays - compared to observational waiting. Cesarean sections are likely to be needed less often with inductions than with waiting. The use of a suction cup and forceps is unlikely to change much, if at all. The results apply to women with no special risks and in the case that the pregnancy continues beyond the expected delivery date."
119,"Does taking supplements with omega-3 fatty acids reduce the risk of heart attack, stroke or other sudden cardiovascular problems?  Does it lower the risk of dying prematurely?","Individuals who had taken additional omega-3 fatty acids suffered a heart attack, stroke or similar acute illness as those who had taken a dummy preparation (placebo) in the course of the study. Omega-3 fatty acids: without effect on the heart and vessels In the summary, the studies showed that omega-3 fatty acids have no influence on the risk of premature death. Also, the intake of additional omega-3 fatty acids did not seem to be able to prolong life.",no,The summarized results of studies to date clearly show that dietary supplements with omega-3 fatty acids do not protect against acute cardiovascular diseases such as heart attack or stroke. The same applies to diets particularly rich in omega-3s.  Additional omega-3 fatty acids also cannot reduce the general risk of premature death.
120,"Can taking dietary supplements with omega-3 fatty acids prevent further heart attacks or strokes if one has already had a heart attack?  In this case, does it lower the risk of dying prematurely??","Their conclusion: Additional omega-3 fatty acids probably cannot protect against further heart attacks or strokes. Omega-3 fatty acids: without effect on the heart and vessels In the summary, the studies showed that omega-3 fatty acids have no influence on the risk of premature death. Also ""Relapses are not likely to be prevented"" A second, equally carefully done review study examined whether the increased intake of omega-3 fatty acids can prevent further diseases if the subjects examined have already had a heart attack [2]. However, it is likely that additional omega-3 fatty acids cannot provide protection even after a heart attack.",no,The summarized results of studies to date clearly show that dietary supplements with omega-3 fatty acids do not protect against acute cardiovascular diseases such as heart attack or stroke. The same applies to diets particularly rich in omega-3s.  Additional omega-3 fatty acids also cannot reduce the general risk of premature death.
121,Can cosmetic products with caffeine for hair and scalp help against hereditary hair loss?,"Likewise, we did not find any studies on the effect of caffeine in other forms of hair loss. Whether caffeine shampoo and co. work in practice can therefore not be answered on the basis of these results. What really does it do to wash your hair with caffeine shampoo and use other cosmetic products with caffeine, however, is unclear. We do not consider this result to be trustworthy.",unknown,"Caffeine can penetrate the hair root and prolong the hair growth phase there - at least if the hair loss is hereditary (androgenetic alopecia). At least, this is what studies from the laboratory indicate. Whether caffeine shampoo or other cosmetic products containing caffeine help women and men with hereditary hair loss is not yet clear. Reliable research is still lacking."
122,Is music therapy with rhythmic training helpful for people with Parkinson's who have trouble walking?,"Rhythmic walking training: Possible small improvement There are many forms of music therapy. It suggests that rhythmic training could slightly increase walking speed. The average effect, however, does not seem to be particularly large: without rhythmic training, the participants went about 56.5 meters per minute With rhythmic training, the participants went about 60 meters per minute After the training, the participants travelled about 3.5 meters more per minute [1].",yes,"Music therapy with rhythmic training could help Parkinson's sufferers walk a little faster and more safely. However, the effect is unlikely to be very great."
123,Do preparations with unsaponifiable components of avocado and soybean oils (ASU) help against limitations and pain in osteoarthritis of the knee joint?,"The study team reports that in some of the subjects the pain and movement restrictions improved a little – in those with a knee arthritis and only a maximum of 6 months observation period. In case of osteoarthritis in the knee, preparations with avocado and soya oil can probably alleviate the discomfort – at least in the short term. Participants with knee arthrosis were likely to benefit from the therapy – and to a noticeable extent.",yes,There is evidence of minor efficacy of preparations containing avocado and soybean oil (ASU). They can probably somewhat alleviate movement restrictions and pain in osteoarthritis of the knee joint - at least in the short term. An effect in osteoarthritis of the hip joint has not yet been shown. Side effects are not to be expected.
124,Do preparations with unsaponifiable components of avocado and soybean oils (ASU) help against limitations and pain in osteoarthritis of the hip joint?,"In contrast, the participants were not better off with a hip arthritis. This obviously does not apply to arthrosis in the hip joint. The ASU preparations apparently do not relieve pain and movement restrictions under these conditions.",no,There is evidence of minor efficacy of preparations containing avocado and soybean oil (ASU). They can probably somewhat alleviate movement restrictions and pain in osteoarthritis of the knee joint - at least in the short term. An effect in osteoarthritis of the hip joint has not yet been shown. Side effects are not to be expected.
125,Is it safe to take preparations containing unsaponifiable components of avocado and soybean oils (ASU)?,"Participants taking an ASU preparation reported adverse reactions as frequently (or rarely) as participants in the placebo groups. We consider the result to be trustworthy: Therefore, preparations with ASU are safe.",yes,There is evidence of minor efficacy of preparations containing avocado and soybean oil (ASU). They can probably somewhat alleviate movement restrictions and pain in osteoarthritis of the knee joint - at least in the short term. An effect in osteoarthritis of the hip joint has not yet been shown. Side effects are not to be expected.
126,Can taking chondroitin relieve osteoarthritis pain or improve mobility in the long term?,"However, studies so far probably do not indicate that chondroitin can help people with osteoarthritis. The combined research results [1-9] show that chondroitin intake probably does not improve pain or mobility. However, the summarized results of previous studies show that also the combination of chondroitin and glucosamine may not relieve symptoms of osteoarthritis [1,4,6,7,9]. The result is similar in all nine cases: a noticeable improvement of the symptoms due to chondroitin is unlikely.",no,"In the studies conducted to date, chondroitin did not lead to any noticeable overall improvement in the symptoms of osteoarthritis. However, the results differ from one another in some cases. This limits their significance somewhat."
127,Does taking arginine benefit existing cardiovascular disease or does arginine prevent it from developing?,"After three months, the results of the two groups were compared and the study authors came to a rather sobering result: In the Arginin group, neither quality of life nor physical resilience of the participants had improved compared to the placebo group. Due to the small number of participants and the short duration of the study, the compatibility of arginine with these data cannot be assessed. From our point of view, it is also questionable how well the results of this study with heart failure sufferers are transferable to people with other types of cardiovascular disease.",unknown,"We found only one small study that investigated a benefit that was noticeable for those affected. In patients with heart failure, taking arginine did not improve exercise tolerance or quality of life. Due to a lack of details, we cannot conclusively assess how reliable these results are. Therefore, we cannot make any statements on the benefit of arginine."
128,"Does ""Detoxic"" work against tapeworms and other parasites? Does ""Detoxic"" help with health complaints?","And even extensive research in three international research databases did not reveal any studies on ""Detoxic"". There is no evidence that their extracts could help with worm infestation or other parasites – either individually or in combination. The studies in detail We could not find any studies on ""Detoxic"".",unknown,"There are no published studies on ""Detoxic"". The claimed effects cannot be verified and seem frivolous."
129,Is mannose as good as or better than antibiotics for preventing recurrent cystitis?,"Overall, therefore, there is no certainty at this stage whether mannosis is actually effective and safe when it comes to preventing bladder inflammation. Therefore, it is not certain whether mannosis is actually better tolerated than an antibiotic.",unknown,"In two studies, bladder infections occurred with a similar frequency or even less frequently with mannose than with an antibiotic. However, the studies are so poorly done that the results are not trustworthy."
130,Does taking vitamin K lower the risk of spinal fractures in older women?,"No benefit – or at most a small one The results of the studies, however, are rather disappointing: vertebral fractures could not be safely prevented with vitamin K. In the case of fractures on other bones, the overall benefit was small: without vitamin K, 30 out of 1000 people had broken bones.",no,"Taking vitamin K probably does not reduce the risk of vertebral fractures. However, this assessment is not well supported. The risk of other bone fractures could possibly be reduced - but only slightly. This estimate is also subject to some uncertainty."
131,Does taking vitamin K lower the risk of other bone fractures in older women?,"Thus, the intake of vitamin K could save 8 out of 1000 people a bone fracture. However, the estimate for the protective effect of vitamin K is subject to considerable uncertainty – it could also be significantly smaller. Thus, the current study situation suggests that vitamin K – if at all – only to a very small extent protects older women with osteoporosis from bone fractures.",yes,"Taking vitamin K probably does not reduce the risk of vertebral fractures. However, this assessment is not well supported. The risk of other bone fractures could possibly be reduced - but only slightly. This estimate is also subject to some uncertainty."
132,Does Smartsleep provide better or more restful sleep?,"Despite extensive research in several medical research databases, we could not find efficacy studies on smart sleep. There is no evidence of sleep-improving effects. The studies in detail We have not found any studies on Smartsleep.",unknown,"There are no studies on this dietary supplement. Whether Smartsleep has a positive effect on sleep must first be scientifically researched. According to the manufacturer, a clinical study on this is in progress."
133,"Can supplemental tryptophan, taken as a dietary supplement or with food, help with depression?","Researched for a long time, but not proven Whether a diet with many tryptophan-rich foods has a beneficial effect on depression, we cannot say. Whether from food or in the form of pills: Whether tryptophan actually relieves the symptoms of depression, the science cannot answer (currently) because of lack of good studies. Although future studies may be able to draw a clearer picture, we do not think it is very likely that tryptophan alone can have great effects. The results can neither show nor refute the effect of tryptophan against depression. Whether or not tryptophan can make antidepressant therapy more effective remains unclear.",unknown,"The amino acid tryptophan appears again and again as a possible treatment for depression. However, an effect could not be scientifically proven so far. Significant studies on tryptophan against depression are lacking."
134,Can Neuro-Socks relieve pain or improve balance and stability?,"Thus, how the neuro-socks should relieve pain or promote stability and strength through touch stimuli on the sole of the foot was not comprehensible to us on the usual research path. However, when we look more closely, it quickly becomes clear from our point of view that these studies have no significance. However, the evaluation is incomplete and does not allow any conclusions. Since essential information on the course of the study is missing, this result is neither comprehensible nor trustworthy.",unknown,There is no scientific evidence of such an effect.
135,"Does taking blood pressure medication in the evening prevent more heart attacks, strokes, and other acute cardiovascular diseases?","Whether this also leads to a lower risk of heart attack, stroke and co is open in most studies. Therefore, despite the fairly large studies, it is still unclear whether the intake in the evening is actually better than the intake in the morning. Therefore, we cannot estimate whether the supposed benefits in the evening group are actually due to the blood pressure sinks or at least partly to other medications.",unknown,"According to two large studies, taking antihypertensive drugs in the evening should significantly reduce the risk of heart attacks, strokes and similar acute cardiovascular diseases compared with taking them in the morning. However, the described effect is on the one hand rather uncertain and on the other hand not very plausible. Therefore, it is not possible to say whether evening intake is actually better. The larger of the two studies will be reviewed again (as of June 2020)."
136,"In Covid-19, do nicotine or smoking have a protective effect, i.e., do they prevent severe progression or death?","Therefore, we can't draw any conclusions and can't even read out the possible protective effect of nicotine. Whether smokers are suffering from a severe form of Covid-19 can not be answered. However, it is by no means suitable to suggest a protective effect of nicotine and smoking.",unknown,"An observational study from a Paris hospital cited in many media is not suitable to support this hypothesis. On the contrary, according to the current state of knowledge, it is plausible that smokers could have an increased risk with Covid-19. They may be more likely to have a severe course of corona infection, necessitating ventilation or death."
137,Can red mold rice products lower blood cholesterol levels?,"The summarized results of previous studies show that redhead rice probably has a favourable influence on high cholesterol levels [1,2]. According to analysis, redhead rice products can reduce elevated cholesterol levels similarly well as the common medicine simvastatin. Again, the author's team found indications that the rice products can have a beneficial influence on cholesterol levels.",yes,"Red mold rice naturally contains the substance lovastatin, which acts as a cholesterol-lowering agent. The concentration of lovastatin in products made from red mold rice can vary greatly. Therefore, it is not certain that red mold rice is as effective as drugs containing a controlled amount of lovastatin. Depending on the dosage, undesirable side effects from red mold rice are possible - just as with the ""real"" drugs."
138,Do products made from red mold rice have fewer side effects than cholesterol-lowering drugs called statins???,"""Of course, but not harmless In addition to its positive effects, lovastatin may also cause unpleasant to serious side effects. According to several experts, redhead rice in effect and side effects is too similar to a medicine to go through as a harmless dietary supplement [4,11.12].",no,"Red mold rice naturally contains the substance lovastatin, which acts as a cholesterol-lowering agent. The concentration of lovastatin in products made from red mold rice can vary greatly. Therefore, it is not certain that red mold rice is as effective as drugs containing a controlled amount of lovastatin. Depending on the dosage, undesirable side effects from red mold rice are possible - just as with the ""real"" drugs."
139,Can disinfectants containing highly diluted sodium hypochlorite (below 0.1%) render corona and other viruses harmless and thus protect against infection?,"Evidence that sodium hypochlorite frees hands from disease-causing viruses is missing. Skin effect unclear It is therefore unclear whether a disinfectant with less than 0.1% sodium hypochlorite is strong enough to reliably eliminate viruses. So it is quite questionable whether sodium hypochlorite on the hands unfolds its anti-virus effect as well as on clean steel. However, it remains unclear whether highly diluted sodium hypochlorite solutions are still sufficiently strong against viruses. The studies in detail We could not find any studies that investigated the effect of solutions with sodium hypochlorite or electrolytically activated water on hand disinfection against corona and other viruses.",unknown,"Whether disinfectants containing sodium hypochlorite reliably rid hands of viruses has never been investigated in scientific studies. However, studies on the disinfection of surfaces suggest: The low concentration of sodium hypochlorite may not be sufficient for reliable disinfection of hands."
140,Does cat's claw improve joint disease symptoms?,"Many questions open Whether cat claw helps better in rheumatoid arthritis or osteoarthritis than a placebo cannot be reliably estimated on the basis of the available studies. We can't make any statements about effectiveness. Since both osteoarthritis and rheumatoid arthritis are chronic diseases, no conclusions can be drawn about the longer-term positive and negative effects of cat claws.",unknown,"We found three small studies that investigated cat's claw in patients with rheumatoid arthritis or osteoarthritis. The studies have significant flaws and sometimes come to contradictory results. Therefore, the question cannot be answered unequivocally."
