idx,label,sentence1,sentence2,explanation
2607,contradiction,A man wearing a cap and a black wetsuit on a rocky coast lifts a large sack with three sacks in front of him with another man and a small yellow boat in the background.,A man carrying a surfboard walking towards the ocean.,Sack with sacks cannot be a surfboard.
2608,entailment,A girl in a field with a yellow scarf.,The girl is outdoors.,In a field implies outdoors.
2609,neutral,A girl in a field with a yellow scarf.,The girl has a red shirt on.,The girl is not necessarily wearing a red shirt.
2610,contradiction,A girl in a field with a yellow scarf.,The girl is in an office building.,If a girl is in a field she cannot be in an office building.
2611,neutral,The person in black T-shirt is sitting.,The man is attending a concert.,"A sitting person in a black t-shirt could be anywhere, not just a concert."
2612,entailment,The person in black T-shirt is sitting.,The human is sitting.,A person is human.
2613,contradiction,The person in black T-shirt is sitting.,The boy is taking a bath.,One is either sitting or taking a bath.
2614,entailment,A guy on a waterskiing board is doing a stunt.,The guy is doing a stunt.,The guy is doing a stunt on the waterskiing board.
2615,neutral,A guy on a waterskiing board is doing a stunt.,The guy is a pro waterskiier.,"WE have no idea if he is a pro waterskiier or not, he could just be doing it for fun."
2616,contradiction,A guy on a waterskiing board is doing a stunt.,The guy is watching tv.,A guy on a waterskiing board can not be watching TV.
2617,entailment,girl sitting in fire for a show,The girl is a performer for the show.,The performer is sitting in fire for the show.
2618,contradiction,girl sitting in fire for a show,The girl is sitting in a freezer.,A fire and a freezer are totally opposite of one another.
2619,neutral,girl sitting in fire for a show,The girl is an employee of the circus.,she could have been a daredevil and not working for the circus.
2620,entailment,There are two shadowy men standing along side a stream that runs through a paved courtyard in front of some stairs.,Two men were outside a building.,Two shadowy men are two men.
2621,neutral,There are two shadowy men standing along side a stream that runs through a paved courtyard in front of some stairs.,Two men were waiting for someone to arrive.,There are two shadowy men standing along side a stream doesn't imply that they are waiting for someone to arrive.
2622,contradiction,A young girl with long brown hair is brushing her teeth.,A girl has short blonde hair.,A girl can either have long hair or short hair but not both.
2623,entailment,A young girl with long brown hair is brushing her teeth.,A girl is holding a toothbrush.,You usually brush your teeth when you hold a toothbrush.
2624,neutral,A young girl with long brown hair is brushing her teeth.,A girl has a green toothbrush.,The girl's toothbrush could be many colors other than green.
2625,entailment,Several people stopped by the side of the road are watching what is happening in the woods.,People stopped by the side of the road,several people same as people
2626,contradiction,Several people stopped by the side of the road are watching what is happening in the woods.,Women are gossiping about a blowfish,In first sentence there are several people while on second one is defined as women. In first sentence people are watching while in the second people are gossiping.
2627,contradiction,Several people stopped by the side of the road are watching what is happening in the woods.,People are talking to eachother,People stopped and watching implies they are focused on doing just that and not talking to each other.
2628,entailment,A fireman is on a ladder leaning on a charred and smoking house.,a fireman on a ladder,"""A fireman is on a ladder"" is rephrasing ""a fireman on a ladder leaning on a house""."
2629,neutral,A fireman is on a ladder leaning on a charred and smoking house.,a fireman on a ladder is trying to find survivors,You can not infer he is trying to find survivors.
2630,contradiction,A fireman is on a ladder leaning on a charred and smoking house.,a policeman arresting a hooker,A policeman and a fireman are different; one doesn't normally arrest somebody while on a ladder.
2631,contradiction,Man in red shirt about to have a barbecue,Woman in red shirt about to have a barbecue,"There can only be one, a man or woman"
2632,neutral,Man in red shirt about to have a barbecue,Sad man in red shirt about to have a barbecue,The man from sentence 1 is not necessarily sad.
2633,entailment,Man in red shirt about to have a barbecue,Person in red shirt about to have a barbecue,A man is a person.
2634,neutral,A man is carrying a child while holding a red and blue umbrella.,Two humans are outside.,Man carrying umbrella can be outside or inside.
2635,contradiction,A man is carrying a child while holding a red and blue umbrella.,A man is swimming laps in a pool.,A man cannot carry a child and swim simultaneously.
2636,neutral,A man is carrying a child while holding a red and blue umbrella.,"A father carries his child, holding an umbrella to keep the rain away.",The man may not be the father of the child
2637,neutral,A costume worn by this little boy is making him feel a little insecure.,The boy doesn't like his costume.,There may be other factors than that the little boy doesn't like the costume that make him feel insecure.
2638,contradiction,A costume worn by this little boy is making him feel a little insecure.,A boy blowing up a baloon.,"The boy seems to be enjoying himself, not feeling a little insecure"
2639,entailment,A costume worn by this little boy is making him feel a little insecure.,An insecure boy.,Answer: The costume worn by the boy makes him insecure.
2640,contradiction,Two men and a woman finishing a meal and drinks.,Two men and a woman playing in a band.,The people cannot be simultaneously finishing a meal and playing in a band.
2641,entailment,Two men and a woman finishing a meal and drinks.,Some people eating a meal.,Men and a woman are people.
2642,neutral,Two men and a woman finishing a meal and drinks.,Two men and a woman finishing a fish dinner and drinks.,You can not infer they are having fish.
2643,entailment,A woman holds a fat baby with sunglasses and a denim hat.,A lady is carrying a baby,"A lady is a woman, holding and carrying are the same thing, they have a baby."
2644,contradiction,A woman holds a fat baby with sunglasses and a denim hat.,A lady carrying a small kitten,The woman cannot simultaneously be holding a baby and a kitten
2645,neutral,A woman holds a fat baby with sunglasses and a denim hat.,A lady carrying her nephew,The baby isn't necessarily her nephew.
2646,contradiction,"Two orthodox Jews, one male, one female, are shown in traditional dress in a sidewalk scene.",Two jews celebrate the jewish holiday indoors.,"in a sidewalk scene refers to being outdoors, not indoors."
2647,neutral,"Two orthodox Jews, one male, one female, are shown in traditional dress in a sidewalk scene.",Two jewish models pose for the camera on the sidewalk.,jews doesn't imply models
2648,entailment,"Two orthodox Jews, one male, one female, are shown in traditional dress in a sidewalk scene.",Two jews are shown in a sidewalk scene.,Jews where traditional dress in a sidewalk scene.
2649,contradiction,"A man in a green safety jacket and pants stands, facing away, near bags of trash while people stand on the curb across the street.",Nobody has a jacket,The man has a jacket so nobody is with out a jacket.
2650,entailment,"A man in a green safety jacket and pants stands, facing away, near bags of trash while people stand on the curb across the street.",A person in a jacket,A man is a person.
2651,neutral,"A man in a green safety jacket and pants stands, facing away, near bags of trash while people stand on the curb across the street.",A tall person in a jacket,Just because the person is a man doesn't mean the person is tall.
2652,neutral,Trying very hard not to blend any of the yellow paint into the white.,Someone is painting a house.,"We have no indication that someone is painting, let alone painting a house, only that there is paint present"
2653,contradiction,Trying very hard not to blend any of the yellow paint into the white.,Someone is baking a cake.,"Someone is trying not to blend paint, which means they aren't baking a cake."
2654,entailment,Trying very hard not to blend any of the yellow paint into the white.,Someone is painting.,"Trying not to blend ""yellow paint into the white"" implies that someone is ""painting""."
2655,entailment,A man in a club addressing other people and holding his index finger up with a woman standing behind him.,A group of people are indoors.,"'A man', 'other people' and 'a woman' can be rephrased collectively as 'A group of people', if they are in a club then they are indoors."
2656,neutral,A man in a club addressing other people and holding his index finger up with a woman standing behind him.,A man is looking for his girlfriend in a club.,A man addressing people and holding up his finger is not assumed to be looking for his girlfriend.
2657,contradiction,A man in a club addressing other people and holding his index finger up with a woman standing behind him.,The man has his fists clenched tight.,The man cannot both have his fists clenched and have his index finger up.
2658,neutral,A blond woman and a brunette woman drink glasses of champagne.,The women are at a bar.,drink doesn't mean at a bar
2659,neutral,A blond woman and a brunette woman drink glasses of champagne.,The women are celebrating.,Celebrating is not the only reason to drink champagne.
2660,contradiction,A blond woman and a brunette woman drink glasses of champagne.,The women are eating glass.,drink glasses of champagne.can't inferred as eating glass
2661,neutral,"A cowboy clown wearing a shirt with Tax on it, red suspenders, and a white cowboy hat talks into a wireless microphone.",A cowboy clown is is talking into a microphone at a rodeo.,A cowboy clown talking into a microphone does not imply he is at a rodeo.
2662,entailment,"A cowboy clown wearing a shirt with Tax on it, red suspenders, and a white cowboy hat talks into a wireless microphone.",A clown is talking into a microphone.,"Wearing a shirt with Tax on it, red suspenders, and a white cowboy hat implies clown."
2663,contradiction,"A cowboy clown wearing a shirt with Tax on it, red suspenders, and a white cowboy hat talks into a wireless microphone.",A cowboy clown in a bowler hat is talking into a wireless microphone.,The man can not be wearing a bowler hat and a cowboy hat at the same time.
2664,entailment,"Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.",There are three people driving in a convertible past other people.,"A woman, a girl, and a guy equals three people."
2665,neutral,"Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.",The convertible splashed through a puddle of water that soaked the other group of people.,A woman driving a convertible is not assumed to have splashed through a puddle of water that soaked the other group of people.
2666,contradiction,"Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.","A woman, girl and man are watching television.",You cannot be driving a red convertible and watching television. at the same time.
2667,neutral,Two women and a man are in a sporty red convertible in front of a large group of people on the sidewalk.,The people are test driving a car.,You can not infer they are test driving it.
2668,contradiction,Two women and a man are in a sporty red convertible in front of a large group of people on the sidewalk.,The three women are in a car.,There are either three women or two women and a man.
2669,entailment,Two women and a man are in a sporty red convertible in front of a large group of people on the sidewalk.,Two women are in a car with a man.,A convertible is a car; two women and a man are inside it.
2670,entailment,Two wrestlers jump in a ring while an official watches.,Two wrestlers were just tagged in on a tag team match.,both describe what wrestlers are doing
2671,entailment,Two wrestlers jump in a ring while an official watches.,Two wrestlers are in the ring.,Wrestlers are in the ring.
2672,contradiction,Two wrestlers jump in a ring while an official watches.,Sea turtles are hatching and racing for the surf.,Two wrestlers  jump into the ring and sea turtles racing in the surf
2673,entailment,Two families on a picnic with green grass.,People are having a picnic.,Two families are people.
2674,neutral,Two families on a picnic with green grass.,Friends are having a picnic at the park.,"Just because there are two families on a picnic does not mean they are all friends, and green grass exists in places other than just a park."
2675,contradiction,Two families on a picnic with green grass.,People are water skiing.,Skiing and grass are at different location
2676,entailment,A man wearing glasses is vacuuming an architects model.,There is a man vaucuming,A man is vacuuming.
2677,contradiction,A man wearing glasses is vacuuming an architects model.,There is a man watching someone vacuumming,"If the man is vacuuming, then he cannot simultaneously be watching someone vacuuming"
2678,neutral,"AN older woman appears to read from a children's book in an indoor setting, while a seated gentleman in a service uniform looks on.",A grandmother reads to her grandchild while his grandfather watches.,"Not every old woman is grandmother, not always reading to grandchild, and not every gentleman is a grandfather."
2679,contradiction,"AN older woman appears to read from a children's book in an indoor setting, while a seated gentleman in a service uniform looks on.",A young woman stands alone looking in the bathroom mirror.,"The woman must be either young or older, but not both"
2680,entailment,"AN older woman appears to read from a children's book in an indoor setting, while a seated gentleman in a service uniform looks on.",A woman reads from a book while a man watches.,An older woman is a woman and by her reading from a (children's) book while a man (seated gentleman) looks or watches on.
2681,contradiction,A lady reading a story book.,A lady reads a science textbook.,The lady cannot simultaneously be reading a story book and a science textbook
2682,neutral,A lady reading a story book.,A lady reads to a group of children.,Just because a lady is reading a story book doesn't mean she reads to a group of children
2683,entailment,A lady reading a story book.,A story book is open.,If a lady is reading a story book then the story book is open.
2684,entailment,A man performs a jumping trick on a skateboard and creates a shadow on the wall behind him.,A person doing a trick,A man is a person while a man performs a jumping trick must be doing a trick.
2685,neutral,A man performs a jumping trick on a skateboard and creates a shadow on the wall behind him.,A funny person doing a trick,All men are not funny.
2686,neutral,A man performs a jumping trick on a skateboard and creates a shadow on the wall behind him.,A tall person doing a trick,Not all men who perform skateboard tricks are tall.
2687,contradiction,"A topless man with tattoos, black pants, and black boots is standing on a platform in front of a mirror.",the man is lying on the roof,You cannot stand on a platform and lay down on a roof at the same time.
2688,entailment,"A topless man with tattoos, black pants, and black boots is standing on a platform in front of a mirror.",a man is standing,The man is standing.
2689,neutral,"A topless man with tattoos, black pants, and black boots is standing on a platform in front of a mirror.",the man is drunk,"Just because the man isn't wearing a shirt, that doesn't mean he is drunk."
2690,entailment,A girl prepares herself for the swim meet.,The girl has swam before.,Girl is going to swim meet.
2691,contradiction,A girl prepares herself for the swim meet.,The girls is asleep at home,"The first says girl and the second says girls it is one or the other. One says she is asleep and the other says she prepares for a swim meet, you can't be sleeping and preparing at the same time."
2692,neutral,A girl prepares herself for the swim meet.,The girl is wearing all black.,Preapering for a swim meet doesn't imply wearing all black.
2693,contradiction,An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti.,an asian wears a red backpack,One cannot be African American if they are asian.
2694,entailment,An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti.,a person wears a backpack,"African American is a person, and red backpack is a type of backpack."
2695,contradiction,An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti.,a woman wears a backpack,Woman is not strictly implied by African American; it could also be a man.
2696,neutral,A man in a red hat and shirt with gray shorts attempts to do the splits.,The man is a gymnast.,The man doesn't have to be a gymnast to do the splits.
2697,entailment,A man in a red hat and shirt with gray shorts attempts to do the splits.,The man is wearing a red hat.,In a red had and wearing a red hat are the same.
2698,contradiction,A man in a red hat and shirt with gray shorts attempts to do the splits.,The man has a blue hat.,Different color hat described - red  & blue.
2699,neutral,A girl is standing and another one is sitting by a tree,The girls are waiting for their friend.,A girl is standing and another one is sitting by a tree don't necessarily imply that they are waiting for their friend.
2700,contradiction,A girl is standing and another one is sitting by a tree,Both girls are sitting by the tree.,The girls cannot simultaneously both be sitting and one is standing and one sitting.
2701,entailment,A girl is standing and another one is sitting by a tree,There are two girls.,A girl and another one are two girls.
2702,entailment,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,There are children on horseback.,There are both children on horseback.
2703,contradiction,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,The children cannot be swinging and on horseback. A playground is usually not in a grassy field.
2704,neutral,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are at a class to learn how to play polo.,It is not clear whether the students are at a class or just playing the game.
2705,neutral,Various people shop at a street clothing sale.,Various older people shop at a street clothing sale.,People who shop as a street clothing sale are not necessarily older people.
2706,contradiction,Various people shop at a street clothing sale.,Various cats shop at a street clothing sale.,People are simply not the same as cats.
2707,entailment,Various people shop at a street clothing sale.,People shop at a clothing sale.,At a street clothing sale implies shop.
2708,entailment,People are shopping outside surrounded by a metal fence.,The people are outside surrounded,people same as the people
2709,contradiction,People are shopping outside surrounded by a metal fence.,The people are sleeping.,One cannot be sleeping and shopping at the same time.
2710,entailment,People are shopping outside surrounded by a metal fence.,The people are shopping,The people are shopping is part of their description surrounded by a metal fence.
2711,neutral,Four people are looking at something on the wall in a waiting room.,A group of people is staring at a painting.,Looking at something on the wall don't necessarily imply staring at a painting.
2712,entailment,Four people are looking at something on the wall in a waiting room.,A group of people is looking at something.,Group of people means more than two people and they are looking at something.
2713,neutral,A well dressed man standing in front of an abstract fence painting.,A well dressed man about to buy an abstract fence painting.,The man isn't necessarily about to buy the painting. He might just be looking at it.
2714,contradiction,A well dressed man standing in front of an abstract fence painting.,A homeless man laying around in front of a painting.,There can be either a well dressed man or a homeless man. One cannot be standing and laying around simultaneously.
2715,entailment,A well dressed man standing in front of an abstract fence painting.,A well dressed man standing in front of piece of artwork.,An abstract fence painting is artwork.
2716,neutral,An Asian man is cooking food.,The man is in a kitchen.,Just because a man is cooking does not mean he is in a kitchen.
2717,contradiction,An Asian man is cooking food.,The man is sleeping.,A man cannot be cooking food and sleeping simultaneously.
2718,neutral,An Asian man is cooking food.,The man is preparing lunch.,A man cooking food does not imply that he is preparing lunch.
2719,entailment,A man in a gray wife beater grilling.,The man is cooking.,Grilling is a form of cooking.
2720,neutral,A man in a gray wife beater grilling.,The man is cooking steaks for his family's dinner.,The man was grilling but doesn't say exactly what he was grilling like steaks or if it was for his families dinner.
2721,contradiction,A man in a gray wife beater grilling.,The shirtless man is cutting the grass.,One man is wearing a wife beater the other is shirtless. You can't cut grass and grill at the same time.
2722,neutral,Two boys in a field kicking a soccer ball.,Some boys are practicing for a soccer game.,Just because kicking ball does not mean practicing.
2723,entailment,Two boys in a field kicking a soccer ball.,There are humans physically moving.,boys are humans and kicking is moving
2724,contradiction,Two boys in a field kicking a soccer ball.,Two girls are throwing a baseball.,There can be either two boys or three girls.
2725,entailment,A black dog running in the snow by some trees.,a dog running in the snow,A dog is running by trees in the snow.
2726,neutral,A black dog running in the snow by some trees.,a dog running in the snow to chase a ball,A running dog does not imply it is running to chase a ball.
2727,contradiction,A black dog running in the snow by some trees.,a dog sitting at the beach,Running and sitting are two different activities.  There are not normally some trees at the beach.
2728,contradiction,Two men help an injured player on the field.,Two women help an injured player on the field.,A group of people cannot be referred to men and women simultaneously.
2729,entailment,Two men help an injured player on the field.,Two men help an injured player.,Two men are helping someone but this is a rephrasing of the same sentence.
2730,entailment,Two men help an injured player on the field.,Some men help an injured player on the field.,Two men represent some men.
2731,entailment,Man playing golf indoors with coat on.,A man is playing indoors.,A man playing golf indoors is playing indoors.
2732,contradiction,Man playing golf indoors with coat on.,A man is playing football indoors.,A man can be either playing golf or playing football.
2733,neutral,Man playing golf indoors with coat on.,A man is wearing a black coat.,Coats may be colors other than black.
2734,neutral,"A man dressed in a bronze suit, wearing bronze colored glasses, is accompanied with a bronze old fashion movie camera, motions taking a movie.",A man is filming a movie.,"Just because the man is dressed interestingly and is accompanied by a movie camera, that does not necessarily mean he is filming a movie."
2735,contradiction,"A man dressed in a bronze suit, wearing bronze colored glasses, is accompanied with a bronze old fashion movie camera, motions taking a movie.",A man is wearing a purple suit and using a purple digital camera.,"Despite the bronze and purple colors being very different, and old fashioned movie camera implies a piece of equipment much older than a digital camera."
2736,entailment,"A man dressed in a bronze suit, wearing bronze colored glasses, is accompanied with a bronze old fashion movie camera, motions taking a movie.",A man is wearing a suit and glasses.,Answer: Wearing and dressed means the same
2737,entailment,The brown dog has a hold of the other dogs cheek with its teeth.,The dog grabbed the other dog with his teeth.,Has a hold of implies grabbed.
2738,neutral,The brown dog has a hold of the other dogs cheek with its teeth.,The puppy grabbed his littermate by the cheek,"Not all dogs are puppies, Every dog is not every other dog's littermate, There are plenty of places other than the cheek that a dog can grab another."
2739,contradiction,The brown dog has a hold of the other dogs cheek with its teeth.,The black dog licked the other dog's rear.,The dog would have to be brown or black
2740,entailment,Boy wearing a blue hoodie jumps over a stair railing.,A boy jumps over a stair railing.,"""A boy jumps over a stair railing"" is another way of saying ""Boy wearing a blue hoodie jumps over a stair railing"""
2741,contradiction,Boy wearing a blue hoodie jumps over a stair railing.,The girl sat on the bench.,"A boy and a girl are different genders, and jumping and sitting are different actions."
2742,entailment,Boy wearing a blue hoodie jumps over a stair railing.,Boy wearing a blue hoodie jumps railing.,Sentence 2 of a boy wearing blue who jumps a railing is a restatement of sentence 1.
2743,entailment,Couple watching the moon on a bridge.,A couple is watching the moon.,A couple watching the moon is surely watching the moon.
2744,neutral,Couple watching the moon on a bridge.,The couple is married.,Not all couples are married.
2745,contradiction,Couple watching the moon on a bridge.,The couple is watching the sun.,You cannot watch the moon and  the sun at the same time.
2746,contradiction,A runner in a yellow shirt is running a race.,A runner is watching people run.,The runner cannot simultaneously be running and watching people run
2747,neutral,A runner in a yellow shirt is running a race.,A woman wearing yellow is running a race.,A runner can be a man or a woman or even a child.
2748,entailment,A runner in a yellow shirt is running a race.,A person is running.,A race requires running.
2749,entailment,The baseball player wearing the 'Irish' uniform prepares to throw the ball to his teammate as the umpire watches closely.,Baseball players playing a game.,Prepares to throw the ball implies playing a game.
2750,contradiction,The baseball player wearing the 'Irish' uniform prepares to throw the ball to his teammate as the umpire watches closely.,Two people are playing catch with a football while a priest watches.,An umpire watching baseball is not the same as a priest watching football.
2751,entailment,The baseball player wearing the 'Irish' uniform prepares to throw the ball to his teammate as the umpire watches closely.,Two baseball players practicing with an umpire watching.,To throw a ball is to practice.
2752,contradiction,Two oriental lizards are fighting for dominance in a small pond,Two oriental lizards are fighting for dominance in a big pond,Pond can not be small and big at the same time.
2753,entailment,Two oriental lizards are fighting for dominance in a small pond,Two lizards are fighting for dominance in a small pond,Answer: Oriental means that the lizards are in the same pond.
2754,contradiction,Two oriental lizards are fighting for dominance in a small pond,Two oriental snakes are fighting for dominance in a small pond,Animals cannot be both lizards and snakes.
2755,entailment,"A young boy with blue shorts, at an indoor pool jumping into the water.",a young kid jumps into the water,A young boy is a kid and if he jumps in the pool which is filled with water
2756,contradiction,"A young boy with blue shorts, at an indoor pool jumping into the water.",a young kid eats a bagel in the pool,"It's implied that the kid is the young boy. He can't be eating a bagel in the pool because he's jumping into the water, which means that he isn't actually in the pool yet."
2757,neutral,"A young boy with blue shorts, at an indoor pool jumping into the water.",a young kid jumps into the water during swim lessons,Jumping into the water does not imply swim lessons.
2758,entailment,A group of people standing in the street.,A group of people in the street.,People are standing in the street.
2759,neutral,A group of people standing in the street.,A group of runners wait for the marathon to begin.,A group of people is not always a group of runners. Groups of people don't always stand in the street to wait for a marathon.
2760,contradiction,A group of people standing in the street.,A man drives a snowcat.,There is more than a man in a group of people. One cannot be standing and driving at the same time.
2761,entailment,A biker gets high in the air against a skyline.,The biker is a human.,biker must be a human
2762,contradiction,A biker gets high in the air against a skyline.,The biker is in a bar.,The biker is either in leaping into the air or in a bar.
2763,neutral,A biker gets high in the air against a skyline.,The biker is on a dirt bike.,You can not infer he is on a dirt bike.
2764,neutral,A man is sitting beside a bunch of material while sewing.,A man is sitting on a couch while sewing.,A man can be sitting on a surface other than on a couch.
2765,contradiction,A man is sitting beside a bunch of material while sewing.,A man is painting on a canvas.,The man cannot be sewing and painting simultaneously.
2766,entailment,A man is sitting beside a bunch of material while sewing.,A man is sewing.,Is sewing is a rephrasing of sewing.
2767,entailment,A dread-locked photographer in a suit takes pictures of a group of young children sitting on the ground.,The children are being photographed.,A group of young children entails children and of them being taken pictures means being photographed.
2768,neutral,A dread-locked photographer in a suit takes pictures of a group of young children sitting on the ground.,The photographer is wearing a black suit.,suit doesn't mean black
2769,contradiction,A dread-locked photographer in a suit takes pictures of a group of young children sitting on the ground.,The photographer has a bald head.,Dread-locked is a hairstyle. Bald head means no hair.
2770,contradiction,A black dog walking through water.,A man throws a ball to a boy.,A black dog and a man are different creatures.  Walking and throwing are two different activites.
2771,neutral,A black dog walking through water.,A black dog is walking through water to catch a fish.,Just because a dog is walking thru water does not mean that it is to catch a fish.
2772,entailment,A black dog walking through water.,The water has a black dog walking through it.,A black dog is walking through water.
2773,contradiction,A man in glasses and a striped shirt walks down the street with one hand in his pocket.,A man is riding his bicycle,If someone walks they cannot be riding a bicycle.
2774,entailment,A man in glasses and a striped shirt walks down the street with one hand in his pocket.,A man is walking somewhere,A man walks down the street must be walking somewhere.
2775,neutral,a man with a cigarette in hand is looking at a car in front of him.,Man smoking a cigarette is upset with the car in front of him.,Just because he has a cigarette in his hand does not mean he is smoking it.  Just because he is looking at a car does not infer that he is upset with it.
2776,entailment,a man with a cigarette in hand is looking at a car in front of him.,Man looks at car.,'Man looks at a car' is a simpler rephrasing of 'A man with a cigarette...is looking at a car'.
2777,entailment,"Three adults and one child are waiting outside of a building, perhaps a school.",Four people are standing in front of a building.,"""Three adults and one child"" can be rephrased to ""four people."" While ""waiting outside of a building"" implies they are ""standing in front of a building."""
2778,neutral,"Three adults and one child are waiting outside of a building, perhaps a school.",Four people are waiting for the bus.,Just because people are waiting outside a building does not mean they are waiting for the bus.
2779,entailment,A boy poses in karate form and uniform.,a boy shows his uniform,The boy shows his uniform because he poses in a karate uniform.
2780,contradiction,A boy poses in karate form and uniform.,a girl shows her girl scouts cookies,Sentence two can not be about a girl if sentence one is about a boy
2781,entailment,A boy poses in karate form and uniform.,A karate student poses in his gi,"A boy poses in karate form and uniform, so he is a karate student."
2782,contradiction,"The young girl wearing a pink shirt is putting a box, with a drawn face and bow, on a shelf along with other food.",a young girl eats a box,It's not possible that someone is putting a box on a schelf and  eats a box simultaneously.
2783,neutral,"The young girl wearing a pink shirt is putting a box, with a drawn face and bow, on a shelf along with other food.",a young girl putting away her toys,"The young girl is putting away a box, not toys."
2784,entailment,"The young girl wearing a pink shirt is putting a box, with a drawn face and bow, on a shelf along with other food.",a young girl putting a box on a shelf,"The young girl puts a box on a shelf in both sentence, however sentence 1 tells us the box has a ribbon."
2785,contradiction,A man is doing tricks on a skateboard.,Nobody is doing tricks,"if a man is doing tricks ,it can't be inferred as not doing tricks."
2786,entailment,A man is doing tricks on a skateboard.,A human doing tricks,A man is a category of human.
2787,neutral,A man is doing tricks on a skateboard.,A tall human doing tricks,A man is not assumed to be tall.
2788,entailment,This land race gets a little wet and wild.,There is a land race.,They are both at a land race.
2789,contradiction,This land race gets a little wet and wild.,There are toddlers napping indoors.,There is either a land race or there are toddlers napping.
2790,neutral,This land race gets a little wet and wild.,Someone fell into the lake during a race.,Just because the race got a little wild does not mean someone fell into the lake.
2791,entailment,A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background.,A man is taking pictures at a golf course.,Snaps photos is a way of saying taking pictures.
2792,contradiction,A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background.,A man in black is singing on stage.,"The man is either wearing navy or black; he either snaps photos or is singing, and he is either at a golf course or on stage."
2793,neutral,A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background.,A photographer is taking photos at the golf championship.,Just because a man snaps photos at a golf course doesn't mean he is a photographer taking photos at the golf championship.
2794,neutral,A male is placing an order in a deli.,A man buying a sandwich at a deli.,Placing an order doesn't imply buying a sandwich.
2795,entailment,A male is placing an order in a deli.,A man at a deli.,male is a man
2796,contradiction,A male is placing an order in a deli.,A man buying ice cream at the movie theater.,Being at a deli implies you aren't at a movie theater.
2797,contradiction,A baseball player is sliding into home behind the catcher with the ball.,The player is in the dugout.,Either the player is in the dugout or sliding into home.
2798,neutral,A baseball player is sliding into home behind the catcher with the ball.,The player is trying to get the game winning point.,Baseball players sliding into home are not necessarily trying to get the game winning point.
2799,contradiction,A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,The catcher is holding a bat.,A catcher is different than a baseball player. Sliding into home is not holding a bat.
2800,entailment,A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,A player is hoping to score a run.,A baseball player is a player who is sliding into home means hoping to score a run.
2801,neutral,A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,The catcher is right-handed.,A catcher is not assumed to be right-handed.
2802,neutral,A man wearing a brown shirt and green pans is pulling a rickshaw down a street,The rickshaw carried a lovely couple down the street.,Just because the man is pulling a rickshaw does not mean that he is pulling a lovely couple.
2803,entailment,A man wearing a brown shirt and green pans is pulling a rickshaw down a street,A man was pulling a rickshaw behind him.,A man pulling a rickshaw is a man pulling a rickshaw behind him.
2804,contradiction,Two small children are gathering water from a large container.,Two kids are collecting water from a stream.,The two small children cannot get water from a large container and a stream at the same time.
2805,entailment,Two small children are gathering water from a large container.,Two kids are getting water.,Two children getting water from a large container for their tomorrow's surplus!!!
2806,neutral,Two small children are gathering water from a large container.,Two kids are getting a drink of water.,"We have no idea if they are getting a drink of water or not, they could be getting water for a number of reasons."
2807,neutral,A man is singing on stage with his fingers in a stuffed bear's nose.,A man on stage singing accompanied by a stuffed bear is a ventriloquist.,You can not infer it's a ventriloquist.
2808,entailment,A man is singing on stage with his fingers in a stuffed bear's nose.,A man is entertaining on stage by singing and putting his fingers in a stuffed animal.,Singing on stage is a form of entertaining on stage.
2809,neutral,A man is singing on stage with his fingers in a stuffed bear's nose.,The man on stage singing with his fingers in a bear's nose is mute.,a man singing does not mean he's mute
2810,entailment,"Two women, one wearing a scarf and the other wearing a broad brim hat, pound what may be food, on a primitive table with wooden mallets",Two women with wooden mallets are preparing what looks like food on a simple table.,Two women are using wooden mallets to prepare food in both sentences.
2811,neutral,"Two women, one wearing a scarf and the other wearing a broad brim hat, pound what may be food, on a primitive table with wooden mallets",Two individuals are beating a bread dough on the table.,Not all food is bread dough
2812,contradiction,"Two women, one wearing a scarf and the other wearing a broad brim hat, pound what may be food, on a primitive table with wooden mallets",Two girls are on a mountain hike.,Girls aren’t women.
2813,contradiction,"The two people are on the end of the dock with a boat behind them, and they are surrounded by water.",Two people jumping off a dock into the water.,The people can't be at the end of the dock in they're jumping into the water.
2814,entailment,"The two people are on the end of the dock with a boat behind them, and they are surrounded by water.",Two people standing on a boat dock next to the water.,A dock with a boat implies a boat dock.
