,questions,documents,answers,explanations
89,"Helfen Zahnpflegeprodukte mit Nanopartikeln aus Hydroxylapatit bei schmerzempfindlichen Zähnen? Und können sie Karies vorbeugen oder bereits angegriffenen, kariösen Zahnschmelz reparieren?","Die Untersuchung ist jedoch so mangelhaft, dass sie gar nicht zeigen kann, inwiefern durch Hydroxylapatit-Zahnpflege Karies zu verhindern ist. Ob bereits bestehende leichte Karies mit Hydroxylapatit wieder verschwindet, ist überhaupt nicht in Studien untersucht. Viele Fragen offen  Es ist zurzeit nicht nur unklar, ob Hydroxylapatit gegen Schmerzempfindlichkeit der Zähne oder Karies hilft. Alles in allem kann die Studie also nicht zeigen, dass Hydroxylapatit Karies vorbeugen kann.",unknown,Zu diesen Fragen fanden wir lediglich mangelhafte Studien ohne Aussagekraft. Belege für die behaupteten Wirkungen können sie nicht liefern.
90,Kann Lichttherapie mit Lichtlampen die Beschwerden einer Herbst-Winter-Depression lindern?,"Insgesamt zeigen diese Ergebnisse: Die Behandlung mit Lichtlampen könnte manchen von Herbst-Winter-Depression betroffenen Menschen zumindest kurzfristig ein wenig helfen. Nach zwei bis acht Wochen langer Behandlung zeigte sich:   Ohne Lichttherapie besserten sich die Beschwerden bei 25 von 100 Personen  Mit Lichttherapie besserten sich die Beschwerden bei 46 von 100 Personen   Insgesamt hat die Lichttherapie also 21 von 100 Personen geholfen. Die derzeit besten verfügbaren Studien deuten also an, dass die Lichttherapie manchen Menschen helfen kann.",yes,"Lichttherapie mit Lichtlampen kann möglicherweise eine Herbst-Winter-Depression lindern. Allerdings scheint sie nur bei einer von fünf betroffenen Personen zu helfen. Wie lange eine Besserung anhält, ist unklar. Langzeitstudien dazu fehlen."
91,Schützt Vitamin B3 vor schweren Covid-19-Verläufen?,"Warum solche Studien aus der Perspektive von manchen Expertinnen und Experten überhaupt aussichtsreich erscheinen, leuchtet uns allerdings nicht so recht ein: Denn die Begründungen für die geplanten Studien zitieren fast ausschließlich mögliche Wirkungsmechanismen auf Zell-Ebene, noch nicht einmal Tierversuche mit Vitamin B3. Ob Vitamin B3 hilft, schwere Covid-19-Verläufe zu verhindern, bleibt also abzuwarten. Diese Vitaminmangelkrankheit kann Haut und Schleimhäute verändern, aber auch neurologische Störungen verursachen [3] .Die Studien im Detail   Zum Nutzen von Vitamin B3 bei Covid-19 haben wir keine abgeschlossenen aussagekräftigen Studien gefunden. Auf Basis dieser sehr vorläufigen (und üblicherweise nicht von uns genutzten) Quellen meinen wir, mögliche Schwächen der Studie erkennen zu können: So werden innerhalb der Studie zwei Behandlungen mit unbekannter Wirkung getestet und verglichen: Wir wissen weder von Vitamin B3 noch von Kieselerde, ob sie helfen.",unknown,Wir konnten zu diesem Thema keine abgeschlossenen aussagekräftigen Studien finden. Zwei laufende Studien untersuchen derzeit die Frage.
92,Verbessert die Einnahme von Coenzym Q10 die Bewegungsstörungen bei Parkinson?,"Kein belegter Nutzen von Coenzym Q10  Diese Übersichtsarbeit kommt allerdings zu einem eher enttäuschenden Ergebnis: Bewegungsstörungen dürften sich mit Coenzym Q10 wohl ähnlich entwickeln wie mit einem Scheinmedikament. Das heißt, dass nach derzeitigem Wissenstand Coenzym Q10 eher keine positive Wirkung auf die Parkinson-typischen Bewegungsstörungen hat. Hinweise auf die Wirkungslosigkeit von Coenzym Q10 überwiegen jedoch. Dabei zeichnen sich keine wesentlichen Unterschiede zwischen Coenzym Q10 und Placebo ab, was prinzipiell für eine gute Verträglichkeit sprechen würde.",no,"Bisherige Studien deuten an, dass die Einnahme von Coenzym Q10 bei Parkinson-typischen Bewegungsstörungen eher keine Besserung bringt. Allerdings ist diese Einschätzung nicht gut abgesichert."
93,Verringert eine Behandlung mit gebündeltem Hochintensitäts-Ultraschall (HIFU) den Bauchumfang?,Einen großen Effekt dürfte die Ultraschall-Behandlung – wenn überhaupt – nicht haben. Zwölf Wochen nach Behandlungsende war der Bauchumfang an der Taille einen Zentimeter geringer als nach einer Scheinbehandlung ohne Ultraschall. Im Vergleich zur Scheinbehandlung stellte es bei der Gruppe mit der höchsten Ultraschall-Intensität eine Verringerung um einen Zentimeter fest.,yes,In einer Studie mit geringer Aussagekraft hat sich der Bauchumfang an der Taille nach 3 Monaten um 1 cm verringert. Dieser unsichere Effekt ist unserer Einschätzung nach sehr klein bzw. kaum sichtbar.
94,"Erhöht Zucker-Ersatz das Risiko, an Krebs zu erkranken oder zu versterben?","Keine definitiven Ergebnisse  Zu Erythrit und ähnlichen Zucker-Alternativen (so genannte Zuckeralkohole) konnten wir überhaupt keine aussagekräftigen Studien finden, die den Zusammenhang mit Krebserkrankungen untersucht haben. Bei den meisten Studien fand sich dabei kein deutlicher Zusammenhang: Menschen, die mehr Süßstoffe verzehrten, erkrankten oder starben also nicht häufiger an Krebs als Personen, die nur wenig, selten oder nie Süßstoffe verwendeten. Trotz der Vielzahl an Studien und Teilnehmenden können wir deshalb derzeit nicht abschließend bewerten, ob Süßstoffe tatsächlich das Krebsrisiko erhöhen. Zu Zuckeralkoholen wie Erythrit konnten wir keine einzige vergleichende Studie finden, die den Zusammenhang zwischen dieser Süßungsmittel-Gruppe und Krebs untersucht hat. Ergebnisse nicht eindeutig  In der Zusammenschau der Einzelstudien in der Übersichtsarbeit [1] als auch in der Mehrheit der neueren Studien [3-5] zeigt sich kein eindeutiger Zusammenhang zwischen dem Verzehr von Süßstoffen und dem Risiko, an Krebs zu erkranken oder zu versterben.",unknown,"Die meisten Studien zu Süßstoffen wie Aspartam und Cyclamat finden keinen eindeutigen Zusammenhang. Allerdings weisen sie alle größere Mängel auf, so dass sich die Frage derzeit nicht sicher beantworten lässt. Zu anderen Zucker-Alternativen wie Erythrit und Xylit haben wir gar keine aussagekräftigen Studien finden können."
95,Hilft ozonisiertes Pflanzenöl gegen Fußpilz oder Nagelpilz?,"Allerdings nur mit geringem Erfolg:   Zur innerlichen Anwendung (Tropfen zum Schlucken) von ozonisierten Pflanzenölen konnten wir keine Studien finden, die zumindest einigermaßen aussagekräftig sind. Die Frage, ob ozonisierte Öle bei verschiedenen Pilzinfektionen mindestens genauso gut helfen wie herkömmliche Medikamente, lässt sich für uns nicht beantworten. Allerdings ist für uns das kein Beleg dafür, dass das ozonisierte Öl eine gute Alternative zu herkömmlichen Anti-Pilzmitteln ist bzw.",unknown,"Wir konnten zu diesen Fragen keine Studien finden, die wir als vertrauenswürdig einschätzen."
96,Hilft ozonisiertes Pflanzenöl gegen Scheidenpilz??,"Allerdings nur mit geringem Erfolg:   Zur innerlichen Anwendung (Tropfen zum Schlucken) von ozonisierten Pflanzenölen konnten wir keine Studien finden, die zumindest einigermaßen aussagekräftig sind. Die Frage, ob ozonisierte Öle bei verschiedenen Pilzinfektionen mindestens genauso gut helfen wie herkömmliche Medikamente, lässt sich für uns nicht beantworten. Allerdings ist für uns das kein Beleg dafür, dass das ozonisierte Öl eine gute Alternative zu herkömmlichen Anti-Pilzmitteln ist bzw.",unknown,"Wir konnten zu diesen Fragen keine Studien finden, die wir als vertrauenswürdig einschätzen."
97,"Sind Gesundheitschecks von beschwerdefreien Personen (Screening) wirksam, um die Pandemie einzudämmen?","Befragen und Fiebermessen als Screening ungeeignet  Menschen nach eventuellen Beschwerden, ihrer Reiseroute oder Kontakten mit Erkrankten zu befragen, scheint jedoch keine zuverlässigen Ergebnisse zu liefern. Es ist derzeit ungewiss, ob Schnelltests am Flughafen, an der Grenze oder in Gesundheitseinrichtungen verlässliche Ergebnisse liefern und so eine Ausbreitung des Coronavirus bremsen können. Laut diesen Studien können sowohl Fiebermessen als auch Befragungen Infizierte nicht verlässlich als solche erkennen. Ob es die Ausbreitung des Coronavirus hemmen kann, beschwerdefreie Personen mittels Schnelltest auf das Virus zu testen, kann das Forschungsteam nicht beantworten.",unknown,"Fiebermessen an der Grenze, Befragung zu Beschwerden oder regelmäßige Corona-Tests für Gesundheitspersonal: Beim sogenannten Screening werden beschwerdefreie Personen auf eine mögliche Infektion hin untergesucht. Ob das die Pandemie bremsen kann, ist allerdings nicht gut belegt. Auch ist unklar, wie verlässlich die reihenweisen Gesundheitschecks Infizierte von Nicht-Infizierten unterscheiden können. Derzeit gibt es nicht genug solide Daten dazu."
98,Hilft Melatonin gegen Jetlag?,"Insgesamt zeichnet sich in den Studien ab, dass Melatonin möglicherweise besser gegen Jetlag hilft als ein Scheinmedikament. Verlässliche Aussagen zu Nebenwirkungen von Melatonin lassen sich auf Basis der Studien nicht treffen. Schwierige Zusammenfassung  In der systematischen Übersichtsarbeit [1] konnten immerhin vier Studien mit insgesamt rund 140 Teilnehmenden rechnerisch zusammengefasst werden: Demnach haben Menschen mit Melatonin weniger Jetlag-Beschwerden als Menschen, die ein Placebo eingenommen haben.",yes,"Die besten verfügbaren Studien deuten an, dass Melatonin wirksam gegen Jetlag-Probleme sein kann. Allerdings ist diese Einschätzung nicht gut abgesichert."
99,Reduziert Sonnencreme die Wahrscheinlichkeit für Hautkrebs?,"Die zusammengefassten Ergebnisse bisheriger Studien können nämlich nicht zweifelsfrei zeigen, dass Sonnencreme das Hautkrebs-Risiko verringert [3,4] . Zwar werden schon seit 40 Jahren Untersuchungen zu dieser Frage durchgeführt, doch die sind nur eingeschränkt aussagekräftig und kommen zu widersprüchlichen Ergebnissen. Beide Übersichtsarbeiten sind qualitativ hochwertig, haben leicht unterschiedliche Stärken und Schwächen, kommen aber in Summe zum gleichen Ergebnis: Ein Einfluss von Sonnencreme auf das Hautkrebsrisiko ist aufgrund der sehr unterschiedlichen Studienergebnisse nicht nachzuweisen. Allerdings schätzen wir die Aussagekraft dieser Studien als nur sehr gering ein.",unknown,"Obwohl Sonnencreme die Haut vor Sonnenbrand schützt, ist bisher nicht nachgewiesen, dass sie auch Hautkrebs verhindern kann. Die vorhandenen Studien widersprechen sich. Das Problem: Häufig haben die Studien nicht berücksichtigt, ob die Teilnehmenden die Sonnencreme richtig und regelmäßig angewendet haben oder ob der Lichtschutzfaktor ausreichend hoch war."
100,"Sind internationalen Reisebeschränkungen und Gesundheitschecks an der Grenze wirksam, um die Ausbreitung von Covid-19 einzudämmen?","Einige Studien kommen zu dem Schluss, dass Screenings an der Grenze hilfreich sein könnten, um die Wucht des Ausbruchs zu bremsen und Todesfälle ein wenig zu reduzieren. Vielmehr würden ihre Auswertungen nahelegen, dass einige reisebezogene Kontrollmaßnahmen bei Ausbrüchen von COVID-19, aber auch SARS und MERS, einen positiven Einfluss auf den Ausgang des Infektionsgeschehens haben könnten.",yes,"Möglicherweise führen reisebezogene Kontrollmaßnahmen dazu, dass der „Import“ und „Export“ von Infektionen über die Grenzen hinweg reduziert wird. Es könnte auch sein, dass die Anzahl der Infizierten langsamer ansteigt. Durch Gesundheitschecks an der Grenze könnten auch bislang unentdeckte Infektionen identifiziert werden – ob dies der Pandemie einen echten Dämpfer versetzt, ist aber durchaus fraglich."
101,Hilft Hypnose bei der Raucherentwöhnung?,"Keine überzeugenden Studien  Ob Hypnose jedoch tatsächlich bei der Raucherentwöhnung hilft, ist in Studien nicht ausreichend untersucht [1] . Es ist auch unsicher, ob die Hypnose besser wirkt als gar keine Therapie. Es sind folglich noch gut gemachte Studien nötig, um eine Wirksamkeit zu belegen. In anderen Studien schneidet die Hypnose-Therapie kaum besser ab als eine Scheintherapie (Placebo-Behandlung). Insgesamt gibt es also keinen Hinweis auf einen stärkeren Effekt der Hypnose-Therapie im Vergleich mit Verhaltenstherapie oder anderen gängigen Methoden.",unknown,Nach aktuellem Stand ist die Wirksamkeit von Hypnose zur Raucherentwöhnung nicht belegt. Die Studienergebnisse sind teilweise widersprüchlich.
102,Verringert Denosumab (Prolia) bei Osteoporose das Risiko für Wirbelbrüche?,Denosumab konnte solche Wirbelbrüche also bei etwa 1 von 100 Teilnehmerinnen verhindern. Auch im Vergleich zu einigen anderen Osteoporose-Mitteln scheint Denosumab Wirbelbrüchen teilweise besser vorbeugen zu können.,yes,"Die zusammengefassten Ergebnisse bisheriger Studien zeigen, dass Denosumab das Risiko für Wirbelbrüche stärker verringert als ein Scheinmedikament. Es schützt möglicherweise sogar geringfügig besser als einzelne andere Osteoporose-Mittel.  Nicht ausschließen lässt sich, dass das Absetzen von Denosumab die Wahrscheinlichkeit für Wirbelbrüche wieder erhöht. Die Studienlage dazu ist widersprüchlich."
103,Erhöht das Absetzen von Denosumab das Risiko für Wirbelbrüche??,"Welche Folgen das Absetzen von Denosumab hat, ist nur unzureichend untersucht. Ob das Absetzen tatsächlich zu mehr Knochenbrüchen führt, ist jedoch unklar. Deshalb lassen sich aus den Daten keine verlässlichen Aussagen dazu treffen, ob das Absetzen von Denosumab gehäuft zu Knochenbrüchen führt.",unknown,"Die zusammengefassten Ergebnisse bisheriger Studien zeigen, dass Denosumab das Risiko für Wirbelbrüche stärker verringert als ein Scheinmedikament. Es schützt möglicherweise sogar geringfügig besser als einzelne andere Osteoporose-Mittel.  Nicht ausschließen lässt sich, dass das Absetzen von Denosumab die Wahrscheinlichkeit für Wirbelbrüche wieder erhöht. Die Studienlage dazu ist widersprüchlich."
104,Verbessert die Einnahme von Magnesium die Symptome einer Depression?,"Mal davon abgesehen, dass dieser Befund nicht immer bestätigt werden konnte [2] : Ein statistischer Zusammenhang bedeutet nicht automatisch, dass ein niedriger Magnesiumspiegel auch die Ursache der Depression ist – und umgekehrt, dass sich die Depression durch Magnesiumeinnahme verbessert. Allerdings lässt sich daraus nicht schlussfolgern, dass Magnesium einem Antidepressivum ebenbürtig ist. Am Ende verbesserte sich bei allen die depressiven Beschwerden, ein Unterschied zwischen Magnesium und Placebo war dabei nicht festzustellen. Anhand dieser Studien lässt sich also nicht sicher bewerten, ob Magnesium bei einer Depression tatsächlich hilft und eine gute Alternative zu einem Antidepressivum wäre oder zumindest als Zusatzbehandlung unterstützend wirken kann.",unknown,Die Frage wurde nur in drei kleinen Studien untersucht. Diese hatten mehrere Mängel und sind teils zu widersprüchlichen Ergebnissen gekommen.
105,Verringert eine Behandlung mit fokussiertem Ultraschall (HIFU) Falten und Schlaffheit der Haut?,"Unbewiesene Behauptung  Ein wissenschaftlicher Nachweis für diese Wirkung fehlt jedoch. Solche Studien konnten wir jedoch nicht finden – trotz umfangreicher Recherche in mehreren Forschungsdatenbanken. Was wir gefunden haben, sind  Studien mit sehr geringer Aussagekraft, die lediglich unterschiedliche HIFU-Behandlungsstärken miteinander verglichen haben [1-3] . Ob die HIFU-Methode irgendetwas bewirkt, können sie nicht beantworten.",unknown,"Wir haben keine aussagekräftigen Studien gefunden. Ob HIFU einen sichtbaren Effekt hat, ist also nicht solide untersucht. Allerdings gibt es Berichte von deutlichen Schmerzen, Rötungen und Schwellungen."
106,Hilft eine ketogene Diät gegen Krebs?,"Es gibt bisher also keinen Nachweis für eine Wirksamkeit der ketogenen Diät bei Krebs. Wirkung auf Tumoren bisher unerforscht  Das heißt: Bis heute wurde die für Krebskranke eigentlich relevante Frage – nämlich ob kohlenhydratarme oder -freie Ernährung etwas gegen Krebszellen ausrichten kann – an Menschen kaum untersucht. Die wenigen Studien, die bisher vorliegen, berichten von keinem oder höchstens von einem unsicheren Anti-Krebs-Effekt der ketogenen Diät.",unknown,"Bis heute gibt es keine gut gemachten Studien, die die Wirkung einer ketogenen Diät auf Krebs an Menschen untersucht haben. Dabei werden wenig oder keine Kohlenhydrate und Zucker gegessen, dafür viel Eiweiß und Fett. Fachleute sehen „Krebsdiäten“ wie die ketogene Diät kritisch – sie können auch gefährlich sein."
107,Haben Topfenwickel eine schmerzlindernde Wirkung (z.B. bei Muskel- und Gelenksschmerzen)? Wirken sie fiebersenkend? Helfen Topfenwickel stillenden Frauen bei Milchstau?,"Auch wir konnten neun Jahre später bei einer umfangreichen Recherche keine aussagekräftigen Forschungsergebnisse zu Topfenwickeln finden. Doch ob Topfen darüber hinaus einen Nutzen hat, ist unklar. Dass ein Quarkpack genauso gut hilft wie ein Coolpack, kann die Untersuchung allerdings nicht zeigen – denn dazu ist sie zu mangelhaft. Wie gut sie Schmerzen und Schwellungen tatsächlich lindern, ist jedoch nicht gut untersucht [3,4] . Unklare Wirkweise  Wie Topfenwickel Schmerzen und Entzündungen lindern sollen, ist ebenfalls unklar.",unknown,"Wir konnten keine aussagekräftigen Studien zu Topfenwickeln finden. Ob die Wirkung über einen kühlenden Effekt hinausgeht, ist unklar."
108,Verhindert Deuterium-reduziertes Wasser Krebs?,"Zu anderen Krebserkrankungen oder gar zum Schutz vor Krebs lassen sich daraus keine Aussagen ableiten. Nicht verlässlich  Für Patienten mit Prostatakrebs lässt sich ein Nutzen von Deuterium-reduziertem Wasser mit der gefundenen Studie nicht sicher belegen, auch wenn das Autorenteam anderes berichtet.",unknown,"Wir haben nur eine einzige Studie mit Prostatakrebs-Patienten gefunden, in der Deuterium-reduziertes Wasser mit normalem Wasser verglichen wurde. Die kleine Studie hat zahlreiche Mängel, die Ergebnisse sind deshalb nicht aussagekräftig. Zuverlässige Untersuchungen zum Einsatz bei anderen Krebserkrankungen oder zur Krebsvorbeugung waren für uns nicht aufzufinden."
109,Verbessert Deuterium-reduziertes Wasser bei Krebs den Krankheitsverlauf??,"Die theoretischen Überlegungen dazu haben uns nicht unbedingt überzeugen können: Auf Internetseiten wird als Argument für Deuterium-reduziertes Wasser über Labor- und Tierversuche berichtet. Nicht verlässlich  Für Patienten mit Prostatakrebs lässt sich ein Nutzen von Deuterium-reduziertem Wasser mit der gefundenen Studie nicht sicher belegen, auch wenn das Autorenteam anderes berichtet. Zumindest kamen wir in unserer Nachprüfung mit einer aus unserer Sicht besser geeigneten Methode zu dem Ergebnis, dass es keinen eindeutigen Unterschied in der Sterblichkeit zwischen den beiden Gruppen gibt.",unknown,"Wir haben nur eine einzige Studie mit Prostatakrebs-Patienten gefunden, in der Deuterium-reduziertes Wasser mit normalem Wasser verglichen wurde. Die kleine Studie hat zahlreiche Mängel, die Ergebnisse sind deshalb nicht aussagekräftig. Zuverlässige Untersuchungen zum Einsatz bei anderen Krebserkrankungen oder zur Krebsvorbeugung waren für uns nicht aufzufinden."
110,Kann eine spezielle Matratze nächtliche Rheuma-Beschwerden lindern und so den Schlaf verbessern?,"Viele Matratzen, keine Studien  Dazu haben wir in mehreren wissenschaftlichen Datenbanken nach Studien zu Rheuma und Matratzen gesucht – doch ohne Erfolg. Ob eine bestimmte Matratze Betroffenen helfen kann, lässt sich derzeit nicht beantworten. Die Studien im Detail   Wir konnten keine Studien finden, die die Wirkung von Matratzen auf Rheumaschmerzen untersucht haben.",unknown,Bei unserer Recherche haben wir keine wissenschaftlichen Studien dazu gefunden. Daher können wir keine Aussage über die Wirkung von speziellen Matratzen machen.
111,"Haben Menschen mit der Blutgruppe AB ein höheres Risiko, an Demenz zu erkranken?","Das Ergebnis: Keine der vier bekannten Blutgruppen war bei den Personen mit Demenz auffällig häufig vertreten. Die vier Blutgruppen A, B, AB und 0 waren bei den Demenzkranken ähnlich verteilt wie unter der gesunden Durchschnittsbevölkerung. Blutgruppe AB: keine Panik  Allerdings bedeuten schlechte Ergebnisse bei Denk- und Gedächtnisaufgaben nicht automatisch, dass sich eine Demenz anbahnt. Die Studie liefert also keinen Hinweis darauf, dass die Blutgruppe direkt für die geistigen Beeinträchtigungen verantwortlich war. Der direkte Schluss, die Blutgruppe AB erhöhe das Risiko für geistige Beeinträchtigung ist durch die Ergebnisse nicht belegt.",no,"Das Demenz-Risiko scheint für Menschen aller vier Blutgruppen (A, B, AB, 0) ähnlich hoch zu sein. Das zeigten zwei Studien, die Daten von über 9000 Betroffenen auswerteten. Die in den Medien verbreitete Behauptung, die Blutgruppe AB erhöhe das Risiko für Demenz, dürfte so also nicht stimmen."
112,"Hilft therapeutisches Tanzen Menschen mit Parkinson, ihre Bewegungsprobleme zu verbessern?","Kleine Verbesserungen – vielleicht  Tatsächlich deuten die zusammengefassten Ergebnisse bisheriger Studien darauf hin, dass Tanzen bei der Parkinson-Krankheit helfen kann – zumindest ein wenig [1] . Im Vergleich zu keiner Therapie verbesserte Tanzen die Bewegungseinschränkungen um rund 8 Punkte auf dieser Skala. Im Vergleich zu Bewegungstherapie verbesserte Tanzen die Bewegungseinschränkungen um rund 2 Punkte auf dieser Skala.",yes,Tanzen könnte die Bewegungsprobleme von Betroffenen etwas verbessern. Möglicherweise schneidet Tanzen auch im Vergleich zu anderen Bewegungsübungen geringfügig besser ab. Dennoch scheint sich die Lebensqualität dadurch nicht merklich zu erhöhen.
113,"Ist es möglich, eine Infektion mit dem Coronavirus nur anhand von Symptomen, aber ohne Labortest verlässlich zu erkennen?","Es deutet sich aber an, dass Symptome alleine nicht ausreichend sind, um verlässlich eine Diagnose zu stellen. Weder das Vorhandensein bestimmter Symptome noch deren Abwesenheit erlaubt es, mit hoher Sicherheit auf Covid-19 zu schließen oder die Infektion auszuschließen. Zumindest derzeit können Symptome nur Hinweise darauf liefern, dass eine genauere Abklärung mittels Labortest wichtig ist.",no,"Bisher haben sich keine Symptome herauskristallisiert, von denen sich gesichert auf eine Covid-19-Infektion schließen lässt Auch die Abwesenheit bestimmter Symptome erlaubt es nicht, eine Entwarnung zu geben. Es deutet sich also an, dass Symptome wie etwa Husten, Kurzatmigkeit oder Geruchsverlust eher nicht geeignet sind, um eine Diagnose zu stellen. Labortests („PCR-Tests“) sind die derzeit sicherste Variante (Stand: August 2020)."
114,Sind Coronavirus-Selbsttests für zuhause genauso verlässlich wie Tests durch geschultes Gesundheitspersonal?,"Do-it-yourself-Tests: Studienlage dünn  Wir konnten keine Studien finden, die untersuchten, wie verlässlich Corona-Selbsttests für zuhause im Vergleich zu professionell durchgeführten Tests sind. Ob die Do-it-yourself-Variante des Corona-Tests genauso gut ist wie der professionell durchgeführte Test direkt im Labor oder der Arztpraxis, bleibt deshalb ungeklärt. In diesem Fall sollte der Test etwa ein oder zwei Tage später wiederholt werden [5] .Die Studien im Detail   Wir konnten keine Studien dazu finden, wie verlässlich Selbsttests für zuhause eine Infektion mit dem neuen Coronavirus erkennen können – im Vergleich zu einem Test durch Profis.",unknown,"Ob Selbsttests aus der Drogerie oder Apotheke ebenso verlässliche Ergebnisse liefern wie ein Test durch geschultes Gesundheitspersonal, wurde bisher nicht untersucht. Fehler beim Entnehmen der Probe zuhause sind möglich. Auch auf dem Postweg zum Labor kann etwas schiefgehen. Das kann die Genauigkeit des Testergebnisses beeinträchtigen. Aber egal, ob selbst oder durch geschultes Personal durchgeführt - hundertprozentig verlässlich ist auch der beste Corona-Test nicht."
115,Hilft Biotin bei Haarausfall? Lässt Biotin die Haare schneller wachsen?,"Unklarer Effekt auf Haarausfall und Haarwachstum  Unsere Suche nach wissenschaftlichen Belegen für die behaupteten Wirkungen von Biotin blieb erfolglos. Wir können damit weder beantworten, ob Biotin Haare schneller wachsen lässt, noch ob das Vitamin Haarausfall stoppen kann. Die Wissenschaftler konnten keinen Unterschied im Haarwachstum zwischen Biotin- und Placebo-Gruppe feststellen [1] . Nachweis muss noch erbracht werden  Ob Biotin wirksam oder unwirksam ist, können wir auf dieser Basis nicht sagen. Die Studie kam zu dem Ergebnis, dass die Einnahme von Biotin keinen Effekt auf das Haarwachstum habe.",unknown,"Die Studienlage, die sich mit der Wirkung von Biotin auf das Haarwachstum beschäftigt, ist unzureichend, Eine positive Wirkung ist laut aktueller Forschung nicht gesichert."
116,"Kann die Einleitung der Geburt bei Schwangerschaften, die über den errechneten Termin hinaus gehen, Todesfälle bei Säuglingen verhindern? Senkt sie die Anzahl der Intensivstation-Aufenthalte von Neugeborenen?",Die wichtigsten Ergebnisse:   Geburtseinleitungen können für Babys lebensrettend sein. Bei Einleitungen kommt es zu weniger Todesfällen der Babys unmittelbar vor oder nach der Geburt als beim Beobachten und Abwarten. Durch das künstliche Auslösen der Geburt sind etwas weniger Aufenthalte auf einer Intensivstation für die Neugeborenen notwendig.,yes,"Die Zusammenfassung von 34 aussagekräftigen Studien mit 21.500 Frauen zeigt, dass sich durch Geburtseinleitungen Todesfälle von Babys und Intensivstation-Aufenthalte der Neugeborenen verhindern lassen – im Vergleich zu beobachtendem Abwarten. Durch Einleitungen sind Kaiserschnitten wahrscheinlich weniger oft nötig als beim Abwarten. Der Einsatz von Saugglocke und Geburtszange ist vermutlich nicht oder nur wenig verändert. Die Ergebnisse gelten für Frauen ohne spezielle Risiken und für den Fall, dass die Schwangerschaft über den errechneten Geburtstermin hinausgeht."
117,Macht eine Einleitung der Geburt Kaiserschnitte seltener nötig als das beobachtende Abwarten?,"Weniger Kaiserschnitte   Für Schwangere ohne spezielles Risiko bedeutet eine Einleitung wahrscheinlich ein etwas geringeres Risiko für einen Kaiserschnitt. In Zahlen, laut Übersichtsarbeit [1] , ausgedrückt:   Mit Einleitung hatten 16,7% der Frauen einen Kaiserschnitt  Ohne Einleitung hatten 18,6% der Frauen einen Kaiserschnitt.",yes,"Die Zusammenfassung von 34 aussagekräftigen Studien mit 21.500 Frauen zeigt, dass sich durch Geburtseinleitungen Todesfälle von Babys und Intensivstation-Aufenthalte der Neugeborenen verhindern lassen – im Vergleich zu beobachtendem Abwarten. Durch Einleitungen sind Kaiserschnitten wahrscheinlich weniger oft nötig als beim Abwarten. Der Einsatz von Saugglocke und Geburtszange ist vermutlich nicht oder nur wenig verändert. Die Ergebnisse gelten für Frauen ohne spezielle Risiken und für den Fall, dass die Schwangerschaft über den errechneten Geburtstermin hinausgeht."
118,Bleibt die Anzahl an Entbindungen mit Saugglocke und Geburtszange ähnlich bei Einleitung und beobachtendem Abwarten??,Durch das künstliche Auslösen der Geburt sind etwas weniger Aufenthalte auf einer Intensivstation für die Neugeborenen notwendig.,yes,"Die Zusammenfassung von 34 aussagekräftigen Studien mit 21.500 Frauen zeigt, dass sich durch Geburtseinleitungen Todesfälle von Babys und Intensivstation-Aufenthalte der Neugeborenen verhindern lassen – im Vergleich zu beobachtendem Abwarten. Durch Einleitungen sind Kaiserschnitten wahrscheinlich weniger oft nötig als beim Abwarten. Der Einsatz von Saugglocke und Geburtszange ist vermutlich nicht oder nur wenig verändert. Die Ergebnisse gelten für Frauen ohne spezielle Risiken und für den Fall, dass die Schwangerschaft über den errechneten Geburtstermin hinausgeht."
119,"Verringert die Einnahme von Nahrungsergänzungsmitteln mit Omega-3-Fettsäuren das Risiko für Herzinfarkt, Schlaganfalls oder andere plötzlich auftretende Herz-Kreislauf-Probleme?  Senkt sie das Risiko, frühzeitig zu sterben?","Personen, die zusätzliche Omega-3-Fettsäuren zu sich genommen hatten, erlitten im Studienverlauf ähnlich häufig einen Herzinfarkt, Schlaganfall oder ähnliche akute Erkrankungen wie jene, die ein Scheinpräparat (Placebo) eingenommen hatten. Omega-3-Fettsäuren: ohne Wirkung auf Herz und Gefäße  In der Zusammenfassung ergaben die Studien, dass Omega-3-Fettsäuren keinen Einfluss auf das Risiko haben, vorzeitig zu sterben. Auch schien die Einnahme zusätzlicher Omega-3-Fettsäuren das Leben nicht verlängern zu können.",no,"Die zusammengefassten Ergebnisse bisheriger Studien zeigen deutlich, dass Nahrungsergänzungsmittel mit Omega-3-Fettsäuren nicht vor akuten Herz-Kreislauf-Erkrankungen wie Herzinfarkt oder Schlaganfall schützen. Dasselbe gilt für besonders Omega-3-reiche Ernährung.  Zusätzliche Omega-3-Fettsäuren können auch das generelle Risiko, frühzeitig zu versterben, nicht verringern."
